model,set,edge_lo,edge_hi,n,recall@0.15
fov_11m_1280_all,s38,0,20,481,0.2391
fov_11m_1280_all,s38,20,50,784,0.236
fov_11m_1280_all,s38,50,100,1144,0.2386
fov_11m_1280_all,s38,100,200,2408,0.2612
fov_11m_1280_all,s38,200,10000,2954,0.3131
fov_11m_1280_all,l128,0,20,245,0.6367
fov_11m_1280_all,l128,20,50,300,0.63
fov_11m_1280_all,l128,50,100,533,0.6004
fov_11m_1280_all,l128,100,200,1037,0.6239
fov_11m_1280_all,l128,200,10000,869,0.664
