model,set,mode,quantize,tiles,images,recall@0.15,fp_per_frame,ms_per_frame
vd_11m,l128,4x720,fp16,4,869,0.6502,1.014,40.1
vd_11m,neg,4x720,fp16,4,187,,0.321,39.2
vd_11m,s38,4x720,fp16,4,1673,0.3736,1.173,39.8
vd_11m,l128,2x1080,fp16,2,869,0.6456,0.823,31.0
vd_11m,neg,2x1080,fp16,2,187,,0.193,29.9
vd_11m,s38,2x1080,fp16,2,1673,0.3527,0.98,30.4
