timestamp, temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], fan.speed [%], pcie.link.gen.current, clocks_event_reasons.active
2026/09/14 02:21:10.907, 31, 11.98 W, 200.00 W, 0 %, 1 MiB, 0 %, 1, 0x0000000000000001
2026/09/14 02:21:20.918, 36, 113.57 W, 200.00 W, 0 %, 478 MiB, 0 %, 4, 0x0000000000000000
2026/09/14 02:21:30.920, 38, 113.86 W, 200.00 W, 0 %, 508 MiB, 0 %, 4, 0x0000000000000000
2026/09/14 02:21:40.922, 39, 114.87 W, 200.00 W, 0 %, 6562 MiB, 0 %, 4, 0x0000000000000000
2026/09/14 02:21:50.924, 45, 198.04 W, 200.00 W, 98 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 02:22:00.926, 47, 198.24 W, 200.00 W, 96 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 02:22:10.929, 50, 198.82 W, 200.00 W, 96 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 02:22:20.931, 52, 198.86 W, 200.00 W, 96 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 02:22:30.933, 54, 199.11 W, 200.00 W, 98 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 02:22:40.935, 55, 198.48 W, 200.00 W, 96 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:22:50.937, 55, 198.92 W, 200.00 W, 98 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:00.939, 55, 198.96 W, 200.00 W, 95 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:10.941, 54, 198.92 W, 200.00 W, 98 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:20.944, 54, 198.67 W, 200.00 W, 99 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:30.946, 55, 198.69 W, 200.00 W, 96 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:40.948, 55, 199.62 W, 200.00 W, 99 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:23:50.951, 55, 197.95 W, 200.00 W, 99 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 02:24:00.953, 55, 198.33 W, 200.00 W, 98 %, 6672 MiB, 62 %, 4, 0x0000000000000004
